How emotionally attached to [country],Born in country,Citizen of country,How happy are you,Subjective general health,Hampered in daily activities by illness/disability/infirmity/mental problem,How many people with whom you can discuss intimate and personal matters,How religious are you,Take part in social activities compared to others of same age,"How often socially meet with friends, relatives or colleagues",Number of people living regularly as member of household,Gender,Year of birth,"Age of respondent, calculated","Improve knowledge/skills: course/lecture/conference, last 12 months",Doing last 7 days: permanently sick or disabled,Partner doing last 7 days: permanently sick or disabled,Ever been divorced/had civil union dissolved,Doing last 7 days: education,Partner doing last 7 days: education,Highest level of education,Years of full-time education completed,Employment relation,Establishment size,Feeling about household's income nowadays,Main source of household income,"Household's total net income, all sources","Doing last 7 days: housework, looking after children, others","Partner doing last 7 days: housework, looking after children, others",Allowed to influence policy decisions about activities of organisation,"Occupation, ISCO08",Responsible for supervising other employees,Father's occupation when respondent 14,Doing last 7 days: paid work,Partner doing last 7 days: paid work,Doing last 7 days: retired,Partner doing last 7 days: retired,What type of organisation work/worked for,Ever unemployed and seeking work for a period more than three months,"Doing last 7 days: unemployed, actively looking for job","Partner doing last 7 days: unemployed, actively looking for job","Doing last 7 days: unemployed, not actively looking for job","Partner doing last 7 days: unemployed, not actively looking for job",Total hours normally worked per week in main job overtime included,Employment contract unlimited or limited duration,Allowed to decide how daily work is organised,"Industry, NACE rev.2","Highest level of education, Spain",Online/mobile communication makes work and personal life interrupt each other,Online/mobile communication makes it easy to coordinate and manage activities,Online/mobile communication undermines personal privacy,Parent lives in same household,"Work from home or place of choice, how often","Employees expected to work overtime, how often","Employees expected to be responsive outside working hours, how often",Respondent have a line manager,"Line manager supports employees in balancing work, how much","Line manager gives work-related help, how likely","Line manager and respondent are at the same workplace, how often","Speak with line manager about work in person, how often","Communicate with line manager about work via text, email or messaging apps, how often","Speak with line manager about work and see each other on a screen, how often","Speak with line about work manager using a phone, how often","Colleagues give work-related help, how likely","Speak with colleagues in person, how often","Communicate with colleagues about work via text, email or messaging apps, how often","Speak with colleagues about work and see each other on a screen, how often","Speak with colleagues about work using a phone, how often","Too tired after work to enjoy things like doing at home, how often","Job prevents you from giving time to partner/family, how often","Partner/family fed up with pressure of your job, how often",Current job: can decide time start/finish work,Region,The government takes measures to reduce differences in income levels,How satisfied are you in your main job
10.0,1.0,1.0,9.0,3.0,3.0,5.0,9.0,4.0,6.0,3.0,1.0,1955.0,67.0,1.0,0,0,2.0,0,0,720.0,7.0,1.0,2.0,1.0,1.0,,0,0,9.0,,1.0,1.0,1,0,0,0,4.0,2.0,0,0,0,0,44.0,1.0,10.0,,19.0,6.0,8.0,9.0,,5.0,6.0,3.0,2.0,,,,,,,,3.0,4.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,ES30,2,8.0
9.0,1.0,1.0,2.0,4.0,1.0,1.0,8.0,1.0,2.0,4.0,1.0,1965.0,57.0,2.0,0,0,2.0,0,0,213.0,10.0,1.0,2.0,4.0,1.0,1.0,0,0,5.0,7112.0,1.0,9.0,1,0,0,0,4.0,1.0,0,0,0,0,40.0,2.0,,43.0,8.0,10.0,8.0,10.0,,6.0,5.0,3.0,1.0,1.0,3.0,4.0,6.0,6.0,7.0,6.0,3.0,1.0,3.0,6.0,3.0,5.0,4.0,4.0,1.0,ES61,10,3.0
9.0,1.0,1.0,8.0,3.0,3.0,1.0,0.0,2.0,4.0,4.0,1.0,1964.0,58.0,1.0,0,0,2.0,0,0,720.0,17.0,2.0,,1.0,2.0,4.0,0,0,10.0,2611.0,1.0,5.0,1,0,0,0,5.0,2.0,0,0,0,1,42.0,,10.0,69.0,19.0,5.0,8.0,9.0,2.0,3.0,55.0,,2.0,,,,,,,,1.0,1.0,4.0,7.0,3.0,4.0,4.0,3.0,2.0,ES61,10,6.0
9.0,1.0,1.0,9.0,1.0,3.0,3.0,0.0,1.0,7.0,2.0,2.0,1966.0,56.0,1.0,0,0,2.0,0,0,313.0,20.0,1.0,4.0,1.0,1.0,7.0,0,0,6.0,3343.0,2.0,3.0,1,0,0,0,1.0,1.0,0,0,0,0,35.0,1.0,9.0,84.0,11.0,3.0,8.0,2.0,1.0,2.0,6.0,6.0,1.0,10.0,1.0,1.0,1.0,3.0,7.0,3.0,1.0,1.0,3.0,7.0,7.0,2.0,2.0,2.0,2.0,ES53,10,9.0
10.0,1.0,1.0,10.0,1.0,3.0,2.0,6.0,4.0,7.0,4.0,1.0,1979.0,43.0,1.0,0,0,2.0,0,0,620.0,29.0,1.0,4.0,1.0,1.0,9.0,1,0,9.0,3355.0,1.0,9.0,1,1,0,0,1.0,2.0,0,0,0,0,60.0,1.0,10.0,84.0,18.0,10.0,10.0,10.0,2.0,1.0,3.0,1.0,2.0,,,,,,,,2.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,3.0,ES52,5,10.0
5.0,1.0,1.0,8.0,2.0,3.0,2.0,1.0,3.0,6.0,1.0,2.0,1988.0,34.0,1.0,0,0,2.0,0,0,222.0,2.0,1.0,4.0,4.0,1.0,1.0,0,0,8.0,5223.0,2.0,7.0,1,0,0,0,3.0,2.0,0,0,0,0,20.0,1.0,8.0,47.0,13.0,5.0,10.0,7.0,2.0,6.0,5.0,6.0,1.0,10.0,1.0,1.0,1.0,7.0,7.0,1.0,1.0,1.0,6.0,7.0,6.0,3.0,3.0,2.0,2.0,ES51,10,9.0
10.0,1.0,1.0,10.0,1.0,3.0,3.0,2.0,3.0,7.0,4.0,1.0,1955.0,67.0,2.0,0,0,2.0,0,0,213.0,16.0,1.0,2.0,1.0,1.0,5.0,0,0,0.0,8160.0,2.0,3.0,1,0,0,0,4.0,2.0,0,0,0,0,42.0,1.0,0.0,10.0,7.0,10.0,10.0,10.0,,6.0,6.0,6.0,1.0,0.0,1.0,5.0,3.0,7.0,7.0,2.0,1.0,1.0,7.0,7.0,7.0,1.0,5.0,2.0,3.0,ES42,2,10.0
5.0,1.0,1.0,8.0,1.0,2.0,4.0,0.0,5.0,4.0,2.0,2.0,1988.0,34.0,1.0,0,0,2.0,0,0,720.0,19.0,1.0,5.0,2.0,1.0,7.0,0,0,5.0,4225.0,2.0,5.0,1,1,0,0,4.0,1.0,0,0,0,0,43.0,1.0,2.0,66.0,19.0,8.0,7.0,10.0,2.0,3.0,3.0,5.0,1.0,4.0,2.0,2.0,3.0,7.0,4.0,4.0,2.0,3.0,6.0,3.0,3.0,2.0,2.0,1.0,2.0,ES30,9,9.0
10.0,1.0,1.0,10.0,1.0,3.0,4.0,8.0,1.0,7.0,2.0,1.0,1975.0,47.0,1.0,0,0,2.0,0,0,720.0,20.0,1.0,3.0,1.0,1.0,,0,0,9.0,2161.0,1.0,2.0,1,1,0,0,4.0,2.0,0,0,0,0,40.0,1.0,10.0,43.0,19.0,8.0,8.0,7.0,2.0,3.0,5.0,6.0,1.0,8.0,4.0,1.0,1.0,1.0,6.0,1.0,3.0,1.0,1.0,6.0,1.0,2.0,2.0,2.0,2.0,ES13,2,9.0
10.0,1.0,1.0,10.0,1.0,3.0,3.0,5.0,2.0,7.0,4.0,1.0,1977.0,45.0,2.0,0,1,2.0,0,0,113.0,,1.0,1.0,2.0,1.0,2.0,0,0,5.0,5151.0,2.0,8.0,1,0,0,0,6.0,1.0,0,0,0,1,40.0,2.0,10.0,56.0,3.0,8.0,10.0,10.0,2.0,6.0,6.0,6.0,1.0,10.0,1.0,2.0,1.0,1.0,7.0,3.0,2.0,3.0,1.0,7.0,3.0,3.0,2.0,1.0,3.0,ES41,10,10.0
0.0,1.0,1.0,5.0,2.0,2.0,4.0,,3.0,7.0,2.0,1.0,1977.0,45.0,1.0,0,0,2.0,0,0,421.0,,1.0,1.0,4.0,,,0,0,8.0,,1.0,,1,0,0,0,4.0,1.0,0,0,0,0,32.0,2.0,9.0,52.0,15.0,5.0,5.0,7.0,,6.0,3.0,3.0,1.0,1.0,4.0,5.0,7.0,1.0,7.0,7.0,4.0,7.0,7.0,7.0,7.0,4.0,4.0,3.0,1.0,ES24,10,5.0
7.0,1.0,1.0,7.0,3.0,3.0,6.0,0.0,3.0,4.0,4.0,1.0,1960.0,62.0,1.0,0,0,2.0,0,0,421.0,16.0,1.0,5.0,1.0,1.0,9.0,0,0,6.0,2141.0,1.0,7.0,1,1,0,0,4.0,2.0,0,0,0,0,50.0,1.0,7.0,29.0,15.0,8.0,7.0,7.0,,2.0,5.0,5.0,1.0,7.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,ES51,5,6.0
10.0,1.0,1.0,9.0,2.0,3.0,4.0,7.0,4.0,6.0,4.0,2.0,1983.0,39.0,1.0,0,0,2.0,0,0,720.0,20.0,2.0,,2.0,1.0,8.0,0,0,5.0,2611.0,1.0,2.0,1,1,0,0,5.0,1.0,0,0,0,0,45.0,,5.0,69.0,19.0,10.0,10.0,10.0,2.0,6.0,55.0,,2.0,,,,,,,,,,,,,2.0,4.0,1.0,3.0,ES62,10,9.0
2.0,1.0,1.0,9.0,2.0,3.0,4.0,4.0,5.0,5.0,3.0,2.0,1967.0,55.0,1.0,0,0,1.0,0,0,213.0,15.0,1.0,1.0,2.0,,,0,0,10.0,5223.0,2.0,7.0,1,0,0,0,4.0,2.0,0,0,0,0,40.0,1.0,10.0,46.0,8.0,0.0,10.0,0.0,2.0,6.0,6.0,6.0,1.0,10.0,1.0,3.0,1.0,3.0,7.0,1.0,1.0,4.0,3.0,7.0,3.0,3.0,2.0,2.0,3.0,ES53,0,8.0
10.0,1.0,1.0,7.0,3.0,3.0,2.0,5.0,3.0,3.0,3.0,1.0,1978.0,44.0,1.0,0,0,2.0,0,0,322.0,12.0,1.0,1.0,2.0,1.0,4.0,0,0,7.0,3123.0,1.0,4.0,1,1,0,0,4.0,2.0,0,0,0,0,40.0,1.0,7.0,43.0,14.0,8.0,9.0,7.0,2.0,6.0,6.0,5.0,1.0,10.0,1.0,2.0,1.0,4.0,6.0,4.0,2.0,3.0,6.0,6.0,6.0,3.0,3.0,1.0,2.0,ES11,8,8.0
5.0,1.0,1.0,8.0,2.0,3.0,3.0,0.0,3.0,5.0,2.0,2.0,1990.0,32.0,1.0,0,0,2.0,0,0,322.0,,1.0,1.0,3.0,1.0,,0,0,8.0,1439.0,2.0,5.0,1,1,0,0,5.0,2.0,0,0,0,0,40.0,1.0,8.0,96.0,14.0,7.0,7.0,8.0,2.0,6.0,6.0,6.0,1.0,8.0,1.0,1.0,1.0,6.0,7.0,6.0,1.0,1.0,6.0,7.0,7.0,3.0,3.0,2.0,2.0,ES30,10,10.0
2.0,1.0,1.0,8.0,2.0,3.0,4.0,1.0,4.0,4.0,2.0,2.0,1983.0,39.0,1.0,0,0,2.0,0,0,620.0,10.0,1.0,5.0,,1.0,,0,0,5.0,1222.0,2.0,7.0,1,1,0,0,4.0,2.0,0,0,0,0,45.0,1.0,5.0,51.0,18.0,3.0,6.0,8.0,2.0,2.0,6.0,2.0,1.0,9.0,1.0,3.0,3.0,6.0,3.0,3.0,2.0,4.0,6.0,3.0,3.0,3.0,3.0,3.0,2.0,ES51,10,2.0
10.0,1.0,1.0,9.0,3.0,3.0,4.0,5.0,3.0,5.0,3.0,1.0,1967.0,55.0,1.0,0,0,2.0,0,0,0.0,9.0,2.0,,2.0,1.0,,0,0,10.0,8332.0,2.0,,1,0,0,0,5.0,2.0,0,0,0,0,,,10.0,49.0,2.0,10.0,10.0,10.0,,6.0,55.0,,2.0,,,,,,,,,,,,,3.0,5.0,4.0,3.0,ES41,5,10.0
